review,Used it for,Owned for,Ridden for,rating,Visual Appeal,Reliability,Performance,Service Experience,Extra Features,Comfort,Maintenance cost,Value for Money,Model Name
"Hero electric service is very bad
Company not provide good service for customers
This is bad thing about company
Hero electric vehicle are good but hero electric service is very bad.
Hero electric customer not satisfied by service
Customer are not happy after use hero electric vehicles
this is my personal experience.",Daily Commute,> 1 yr,> 15000 kms,1,4,3,,1,,4,,3,Hero Electric Flash
"It is the worst vehicle I have ever used in my life
Total wastage of money
1) repairing cost is very high
2) tyre are too small in width due to which puncture every time
3)change lock thrice in a year cost 1400/per
4) service ridiculous
5) parts, the digital meter is broken within a year
6)I don't want people to waste their hard earned money on this useless.",Daily Commute,> 1 yr,10000-15000 kms,1,1,1,,1,,1,,1,Hero Electric Flash
"Buying experience is good. Rides very smooth. Nice looks. In case of performance, I would to say this is only used for domestic purpose. it may run 90 km on a single charge if it is driven in 15-18 km/h speed limit. Don't expect it like a petrol vehicle.
Its a very silent machine. Don't ride double if road is broken. Company should arrange for a service centre first before selling the bike.",Daily Commute,> 1 yr,5000-10000 kms,5,4,4,,3,,5,,3,Hero Electric Flash
"Stunning looking bike,awesome riding comfort ,smoother and noise free movement , very less maintenance which avoid undue hackles ,just charge the battery and go for smooth hassle free ride.Decent color make it beautiful and stunning looking light weight body above all very good bike in affordable price with pollution free experience.",Everything,3-6 months,< 5000 kms,4,4,3,,4,,4,,4,Hero Electric Flash
"The best thing i like in this scooter is that is environment friendly i.E pollution free. The style is decent with a good capacity and average speed that is needed in a city, if everybody uses this type of scooty country will become pollution free and less chances of road accident. India need for this.",Everything,6 months-1 yr,10000-15000 kms,5,4,4,,5,,4,,5,Hero Electric Flash
"I like this scooter very much as the handling is very smooth.I would say this scooter is very safe and can be best suited for kids and our elders. Look wise it is also very stylist , you can also show off certain times as well. The maintainable cost of this scooter is very low and the parts are easily available in the showroom with low servicing fee. Over all it’s the value for money deal There is no such thing which i dislike about this scooter But one thing i would say is the headlight can be more bright as i feel it is less bright.",Daily Commute,> 1 yr,5000-10000 kms,5,5,5,,5,,5,,4,Hero Electric Flash
Very good . Right choice for children also.Smooth riding. Looks wonderful.Service is cheaper. .I liked very much.I am also buying repeatedly . I liked very much. I am very interested in my money for this and i will be spending time in riding this very much no problem. No maintenance. Full paisa vasool.,Daily Commute,Never owned,,5,5,5,,5,,4,,5,Hero Electric Flash
"Hero is hero, Hero is the world's leading motorcycle company.I like it. The flash's look is certainly beautiful.Being comfortable due to excessive storage, it is easy to keep the luggage, because of not being overweight, it is easy for women to run the elderly.And the fact is that since the rate of petrol is increasing day by day, the electronic bike is a newcomer.",Everything,> 1 yr,> 15000 kms,5,5,3,,3,,5,,4,Hero Electric Flash
I thinks it's very useful bike. If we drive safely. It's save our money .I drive daily 24kms it's very nice.When care your things then things life becomes long. That is very useful links product it safe our fuel money and time in our local area. Very easy price for this every can drive. Young man or old man every body can use this.,Daily Commute,> 1 yr,5000-10000 kms,4,2,3,,4,,2,,4,Hero Electric Flash
As per rumours electric bikes are not reliable.Its not correct because our environment is polluted by us and we have to give up to give back to environment.Electric scooters are the best for now a days situation like in our city trafficking.And this is the time to come out from the box.We will get tax free on it and my riding was good with it. I am going to buy this because it doesn’t need license if i’m not wrong.Good performance and no petrol price tensions even its looking pretty.Its maintenance free scooter what more reasons we need to buy it.,Everything,Never owned,,5,5,5,,4,,5,,5,Hero Electric Flash
"I have preferred always better bike for less pollution. I am encouraging everyone to use electric bike. Our air is very polluted by carbon dioxide. We are use this type of ride then we save our future in long time. I want to buy asap electric bike and i recommended to buy hero brand,because this is very trust-able brand.",Daily Commute,> 1 yr,5000-10000 kms,4,4,4,,4,,4,,4,Hero Electric Flash
I owned this e bike from a long time and it has given me good mileage per charge .The color which i bought was fantastic. I use it for going for tuition and for personal use i charge it in a week and it works for 1 week . Took it for servicing only 2 time and it is fine . I request you all to buy such e bike and be eco friendly.,Daily Commute,6 months-1 yr,< 5000 kms,5,5,5,,3,,4,,4,Hero Electric Flash
,Everything,6 months-1 yr,5000-10000 kms,5,3,4,,3,,4,,4,Hero Electric Flash
,Everything,< 3 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Flash
,Daily Commute,Never owned,,5,5,5,,5,,5,,4,Hero Electric Flash
,Everything,3-6 months,< 5000 kms,4,4,3,,3,,4,,4,Hero Electric Flash
,Daily Commute,< 3 months,5000-10000 kms,5,4,5,,4,,5,,4,Hero Electric Flash
,Daily Commute,< 3 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Flash
"Specification is very good
Fuel save is 300% better
Speed super
Time saver
Very good battery combination
Save money more money
Dealer provides very good service Good service.",Everything,Never owned,,5,4,4,4,4,5,,4,,Ampere Magnus EX
Less buying cost.. I bought around 78k... Range good around 80.. Decent look... Good boot space... The battery is heavy... Charging time for a full charge is around 6 to 7 hours.. It could have been less.... Build quality is ok... Ok for flyovers.. But for the steep road with double seat. It will be a problem....,Daily Commute,< 3 months,< 5000 kms,4,4,3,4,3,3,,3,,Ampere Magnus EX
"1. Buying experience is very excellent
2. Riding experience is excellent
3. Look is very attractive, run 97 km in a single charge with mix use single riding and double riding. Run in both modes high and low.The headlight is powerful. About space is very large.The front look is very good. Leg space is comfortable.Overall vehicle is very useful.",Daily Commute,< 3 months,< 5000 kms,5,4,,5,,4,,4,,Ampere Magnus EX
"The vehicle was not good routine usage. The battery changed 3 times in 1 year.
No spare parts are available in bangalore south gottigere branch.
Waiting for around 3 months.
It's not worth it.
Needs to little bit strong and better to keep the aluminum body.
This price is not worth it.
I really appreciate it if you take any necessary action.",Daily Commute,> 1 yr,5000-10000 kms,1,3,1,2,3,1,,3,,Ampere Magnus EX
"Recently i have purchased a magnus ex bike from Indore and after using it i have some feedback for this bike,
1. There should be an option with a 12-inch tire size as roads are very poor in our area and 12-inch tires increase the ground clearance for bikes. As per our area road conditions minimum of 155+ mm, ground clearance is required.
2. Seat is not fitted correctly on boot space, have checked many bikes at the dealer showroom, looks like the seat lock will be damaged after using the bike for one or two months. Feels a very low-quality part of the entire bike, even sometimes boot space light keeps on after closing the boot space because the seat is not fitted properly.
3. When we apply break on speed breaker, the bike suddenly stops and then has to again push the accelerator and the bike moves ahead with a jerk.
4. Charger pin which we insert into the battery can be better if someone does not point the pin correctly and try to push in the battery in that case charger pin can be damaged.
5. Okay with a 3-year warranty for the bike's main components, but distance should be increased for warranty condition, expecting 35,000+ km's warranty instead of 20,000 km as per the price and range of the bike.
Have few more points but these are the main problems with this bike which should be resolved as soon as possible if these problems are solved then it will be a rough and tough bike for all types of indian conditions and users. Bike's look is very good.",Daily Commute,< 3 months,< 5000 kms,3,4,3,2,,,,,,Ampere Magnus EX
"1) ampere magnus ex it is affordable price, middle class buggiest scooter.
2) smoothly going compactable seating for pilon rider
3) look is very nice, 110 to 120 km for one time full charge.
4) it is very good service and no maintenance cost
5) middle class buggiest scooter reasonable price government has given rs 30000 subsidiary.",Daily Commute,3-6 months,< 5000 kms,5,5,5,5,4,5,,5,,Ampere Magnus EX
"1) it is very good ev vehicle government has given subsidiary rs 30000
2) very good and smoothly, ampere magnus ex is excellent ev, i am very happy to buy.
3) look is very nice and 120 km for one time charge, we observe 3 times checked, if we go 35 to 50 speed, it will come 120 km for one time full charge
4) service excellent no maintenance charge
5) more savings",Daily Commute,3-6 months,< 5000 kms,5,4,4,5,4,5,,5,,Ampere Magnus EX
"Really runs above 100kms on a single charge and very comfortable ride
Looks good too
Buying experience - good
Riding experience।- smooth
Details about looks -superb
Servicing and maintenance। no cost
Pros and cons।
Really runs above 100kms on a single charge and very
What do you think about its look? do you find it visually appealing?",Daily Commute,< 3 months,< 5000 kms,5,5,4,5,5,4,,4,,Ampere Magnus EX
"Such a nice choice to go for it. Superb pickup and smooth driving experience even in traffic. I used to drive daily for 60 kms. The battery lasts for 70 km in city mode but in eco mode it lasts for 89 kms to be precise. My suggestion is the wires need to be properly consoled. Many wires are just exposed to naked or not secured to the body walls. Seat plastic quality needs to be improved. Range to be increased to 100 in city mode. Final words best in price range, best in comfort, will give to 4.6 out of 5. Keep it up greeves.",Daily Commute,3-6 months,< 5000 kms,5,5,5,4,5,4,,4,,Ampere Magnus EX
"1. Waited 2 months to delivery for the vehicle and everything went smooth.
2. Scooter is delay in instant acceleration. When break is released it needs 1 second to move forward. One flat roads riding is ok. When we want to stop in height area we need to apply break and give acceleration, this wont work this will give bad experience.
3. Reaches to 60k in speed when high mode but there may 10-15% jump in speedometer. Getting 100+ range which is good thing.
4.I don't see any change in current bill. Company said 2 units for full charge.
5. Need to improve pickup issue.",Daily Commute,< 3 months,< 5000 kms,5,4,5,4,3,,,4,,Ampere Magnus EX
For a mid priced electric scooter this is a good choice.. But problem arises when we apply brakes on riding up a surface. Because of the one-second delay in acceleration. Be sure to charge this scooter in less than a week even after just riding it for 8 km a day because we don't have a choice to off the front lights which also consume power.,Daily Commute,< 3 months,< 5000 kms,5,5,4,4,4,4,,4,,Ampere Magnus EX
"Good vehicle. Good mileage. Good look.
Disadvantage:
The leg keeping area height is more which causes to bend our legs and hence we need to bend our back bone. This causes severe pain in long rides. Hence r&d of ampere should consider this and keep the leg keeping are in the lower height as like as normal petrol vehicles. If that was done, then it is good. Also one more is need keep the switches near to handles.",Everything,< 3 months,< 5000 kms,4,,,,,,,,,Ampere Magnus EX
Customer service is very bad vehicle is is not pick up instant and stop signal not going hundred kilometer company talking ne 121 kilometer but vehicle is going only 75 km performances very bad. I make a request to company please improvement your braking system and pickup is not getting bike instantly so please improve this.,Everything,< 3 months,< 5000 kms,1,3,1,2,1,4,,,,Ampere Magnus EX
"Purchased in November. Scooter is good. There are few vehicle design issues.
1. Handle design issue like distance between handle grip and switches are more and difficult to use while riding.( horn, indicators and head light)
2. Main stand is exactly below the rest paddle and difficult to use.
3. Battery charger is big in size and not convenient to carry.
Rest are ok as of now.",Occasional Commute,< 3 months,< 5000 kms,4,5,5,5,,,,,,Ampere Magnus EX
"1) The overall experience is really good in this price range.
2) it is totally worth for the price, the on road price of the vehicle is rs.84,000 in Chennai.
3) total time for charging the battery from 0-100% is : 6 hours and 20 minutes.
4) power consumption for full battery is around : 2.2-2.5 units
4) i'm getting range of 75km in high speed mode and 93km in low speed mode.
5) as per my riding in high speed mode the cost per km is 0.21paise which is 20 times lower than the cost per km of the petrol vehicle.",Daily Commute,< 3 months,< 5000 kms,4,5,4,3,4,4,,4,,Ampere Magnus EX
Best scooter in this range i suggest everyone who need electric scooter buy only ampere scooter better than hero & okinawa quality is best reliable now top class dealer in Jalalabad west ( sher singh & co ) no tension for service .,Daily Commute,Never owned,,5,5,5,5,5,5,,4,,Ampere Magnus EX
"I purchased this scooter 2 days before and fully satisfied with the price, features & performance. I also have hero optima dual battery model but ampere magnus ex is really fantastic. It has higher motor capacity and better build quality. Loved it and also recommend it to everyone specially to middle class people.",Daily Commute,< 3 months,< 5000 kms,5,5,5,5,5,5,,4,,Ampere Magnus EX
"Excellent Scooty for daily use this is something we need in this higher fuel prices these days.
I recommend everybody this is best scooty you can buy in 2021.
plus brand name Ampere, i known this brand for almost 4 years they never disappointed me in any way.
best service you can get nowadays for your convenience.",Daily Commute,> 1 yr,5000-10000 kms,5,5,5,,5,,5,,5,Ampere Magnus EX
"The buying process was simple since I made full payment even though it took 19 days to deliver because of color availability.
Pros: frond look wise it's pretty good and we cannot make out its ev from the front side
Boot space is decent we can keep the half helmet.
Cons: 121 km is just a dream...The actual range is 80 with a single person and low mode. If we are riding pillion then max rage would be 50 to 60
Tyre's profile is 10 inches and the worst quality... No disk brake was given and braking efficiency is poor.
Speed is a big concern..Max speed is 50. You cannot overtake any petrol scooter on road ..40 to 47 is the max speed... If you want to reach 50 then u have to struggle
Charging time 5 to 6 hours..It's quite long and no fast charging option
Made quality is average...Within 1-month usage, starter switch was damaged..Even low/high mode switch made with 20 rs plastic.
People were attracted by the look and the company claimed 121 range...Plz don't believe that word that's never got it ...After buying dealer told me about the actual range ... If you want to get 100kn that's possible by riding one person and a speed of 25km... Instead of that, we can buy sports gear cycle.",Occasional Commute,< 3 months,< 5000 kms,4,5,3,1,2,2,,,,Ampere Magnus EX
"1. Charger shall be placed inside the bike & there should be ac voltage input provision for charging. On overnight charging in common parking buildings, the charger may be stolen.
As there is no fuel tank in this vehicle that space can be utilized for the above purpose. As well as space under seat can be also increased.
2. Battery charging & storage shall be displayed with the percentage in the front display panel.
3. There shall be provision for additional battery connection & fixing.
4. Headlight illumination level needs to be increased.
5. Near the mobile charger, in the mobile holding space, the water drainage hole is not in the proper place. Water is stored after rain.",Daily Commute,< 3 months,< 5000 kms,4,4,4,4,,,,,,Ampere Magnus EX
"1. Buying experience was awesome - dealer vip wheels kolkata
2. Very smooth to ride. Good torque. High pick up in high mode. Balance good. Good speed control options with high and low modes. Battery backup is great. The low mode can give around 100 and the high mode 80 km. Excellent commute vehicle. Looks like activa but actually longer. Has more legroom left for 6feet tall person. Two people can comfortably ride this scooter. Can ride in rains. It will also perform when waterlogging is low.
Servicing required as per km driven. Can tolerate Indian road conditions with minimum service. Looks very good on the road. Not like a typical electric scooter.
Cons - Loading over 150 kg can slow the vehicle down especially when moving up a bridge. The battery takes longer to charge. No fast charge option(but at this price ok). Build quality is good but when you compare to petrol scooter of the same price then not up to the mark. Better build than hero optima and ola. Magnus ex can withstand accident and fall to quite an extent.",Daily Commute,3-6 months,< 5000 kms,5,5,4,4,4,4,,4,,Ampere Magnus EX
"Pros
Good design
Good mileage. I am getting around 97
Less weight
Good boot space
Around 90 kms in 20 rs
Price is best
Cons
Very heavy battery. Women, sr citizens cant remove and charge at home as it is high
Takes around 6 to 7 hours for a full charge
When only 2 battery indicators remain, it gives very less mileage
You cant calculate the range based on pro reta.",Daily Commute,< 3 months,< 5000 kms,4,4,4,4,4,1,,4,,Ampere Magnus EX
"Very poor services and unsupported staff. Do not buy vehicles from these companies. In purchasing of just 4 months, we have 6 to 7 times battery issues still do not resolve properly. Today again we are facing this issue. But still, the company can not change the piece. And do not properly find the what issue was.",Daily Commute,< 3 months,5000-10000 kms,1,1,1,1,1,1,,,,Ampere Magnus EX
"1. Buying experience. Dealer says first book bike then will give breakup cost. Dealer charge extra one thousand rupees. 2. Riding experience good.3. Looks nice 4 most problems in service, call center not respond every time busy and not also callback, a. The not qualified staff at the dealer is also not professional. No after-sale support. Apps not working. The dealer is very bad.",Daily Commute,3-6 months,5000-10000 kms,3,,,,,,,,,Ampere Magnus EX
"Very poor quality accessories. The material of plastic is not ulto the mark. Sit broken. Battery charger fuse. Poor body quality. 70km mileage/charge but as per the company declaration/promo it is 110 km/ charge. If parts are broken/damaged, no time limit is fixed. Very very poor service. The company needs only 1st-time sales. No after-sales service.",Occasional Commute,6 months-1 yr,< 5000 kms,1,1,1,1,1,1,,4,,Ampere Magnus EX
"I bought this scooter 2 monoths back for my daily commute of nearly 54km. The buying experience was average but what I like most is they call once in nearly 2 weeks to enquire about any problems with the scooter.
I get an average of nearly 84km per charge and charging takes about 5 hours. I use it in both high and low-speed modes (mostly high-speed).
The looks of this bike are almost like honda activa and are comfortable to ride. You get a boot space that accommodates my full helmet.
A few things that can make it better are a more comfortable seat and a better build quality. But overall I am happy with the performance till now at 600km.",Daily Commute,> 1 yr,< 5000 kms,4,4,5,4,,4,,5,,Ampere Magnus EX
Over all the best all rounder e scooter in the price segment below 80k it is super stylish compared to many e scooty's and range of 120 is good enough it's top speed is 55 and you can get around 90 to 100 if high speed mode is used and the service provided by the company is too good mainly 3+2 year extended warranty is being provided thanks ampere.,Daily Commute,> 1 yr,5000-10000 kms,5,5,5,5,5,5,,4,,Ampere Magnus EX
Ampere magnus ex is very good scooter. Front looks are super good. Mileage is good. Pickup overall is good. Experience on this scooter is superb. Scooter is better in the range of 95 to 100 kms. This scooter costs Rs. 82 thousand which is very valuable.,Daily Commute,< 3 months,< 5000 kms,4,4,4,5,4,5,,4,,Ampere Magnus EX
This bike is looks awesome and great futures with different sound i'm feeling proud because this is the Indian bike Hope revolt have backup for this launching cause many times after launching company was not provided services correctly. This time i have much more expectations from the revolt company Wish i can buy it soon In surat gujarat.,Everything,Never owned,,5,,,,,,,,,Revolt RV 300
"Great ride experienced, no noise and feel power and smart accessories loaded.Looks and design very attractive and sporty feel. Service maintenance to be pocket friendly and ease of doing. Pros: stylish, pocket friendly ride, less maintenance. Great ride in single charge and satisfactory charging time.",Everything,Never owned,,5,5,5,5,4,,5,,,Revolt RV 300
"If you prefer a silent economic ride then yes e-bikes will be perfect. But, wait these bikes do attract people a lot, because its so silent and people who are not aware of e-bikes will have that surprised look on their face.Overall for short term commute (within 10km/per ride) e-bikes will do their best. Overall riding experience is good. Light weight and easy to handle.",Daily Commute,6 months-1 yr,< 5000 kms,5,4,,4,4,,4,,,Revolt RV 300
Not buy this bike I have problem facing after three months and dealership are not support it was reason for dealership not proper technical person after more than time my bike was stay in dealership but not solving problems be careful not purchase this bike I have loss my money please take care. Do not waste your money.,Daily Commute,6 months-1 yr,< 5000 kms,1,1,1,1,1,,1,,,Revolt RV 300
"Revolt RV 300 is very good for youths, good looking body with handsome features. Mileage is very suitable for outdoor or indoor. Good looking headlight for night riding. Both mirror for backside increase its smartness. Among with good features, there are some cons also with this bike. Charging for 4 to 5 hours for full charge is much in this fast time. So totally good for all sides.",Everything,< 3 months,< 5000 kms,1,1,1,1,1,,1,,,Revolt RV 300
"Buying experience is very good and riding experience is also good. Zero maintenance and economical very cheap so I have preferred to buy everyone buy to revolt electric bike. Service cost and maintenance cost is low so save your money. So , I have also buy one another bike for my new riding experience.",Everything,Never owned,,5,5,5,5,5,,5,,,Revolt RV 300
"1. Next bike : only ev rv 300
2. Take a new comfort
3. New gen ev bike no compromise
4. Only battery issue
5. Very fine new gen bike
1. Next bike : only ev rv 300
2. Take a new comfort
3. New gen ev bike no compromise
4. Only battery issue
5. Very fine new gen bike
1. Next bike : only ev rv 300
2. Take a new comfort
3. New gen ev bike no compromise
4. Only battery issue
5. Very fine new gen bike",Daily Commute,6 months-1 yr,> 15000 kms,5,,,,,,,,,Revolt RV 300
"Mind blowing model!!
Saves lot of money
E-bike usage rates and adoption variables
Rider demographics
Key geographic e-bike markets
The environmental impact of e-biking
Costs of e-bike ownership compared to cars, motorcycles and other modes of transportation
And much more, revealing key information and statistics on electric bike popularity and the benefits an e-bike can bring to your lifestyle.",Everything,Never owned,,5,,,,,,,,,Revolt RV 300
"Best electric bike in the market if you need future bike so please look at revolt. It's an electric bike, full stylish, sporty, economical strong bike. The new era of motorbike and youth will be demanding metal body, sporty look and never burden in your pocket and easy service and care please revolt team please provide the bikes in every city.",Everything,Never owned,,5,5,5,5,5,,5,,,Revolt RV 300
"1 Not bought yet.
2=Awesome
3=Looks like sports bike
4=Maintenance is too lower than petrol bikes
5=Pros-save Environment, save money
Cons-speed is low
And nothing to say about this bike I have no words. The bike is superb.",Daily Commute,Never owned,,5,5,5,4,5,,4,,,Revolt RV 300
"Now a days it's very useful for daily usage. It have good pickup power. It have 51 km/h speed. I travel daily 60-70 km. It saves 100-150rupees per day. But body quality is not well, If they can improve body quality, it is the best scooter.",Daily Commute,6 months-1 yr,10000-15000 kms,4,5,4,5,4,3,,5,,Hero Electric Photon
"When i go for inquiry in hero electric ,i liked this scooter in first look. Sales person was also good but not have too much knowledge,even he was little bit confused for some technical parts. Amazing classic look noise free very good .Speed is also good for city commuter. Best in segment.Since this is an electric scooter so its maintenance cost is very low and can say negligible. If you are a daily commuter of distance less than 50 km then this is best because it will cost one time equivalent to petrol scooter but start saving money from first day as after buying it we don't have to pay any more for petrol or service.",Daily Commute,3-6 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Photon
"Every one attract towards bike looking at green number plate i.E. Eco-friendly model no fuel no voice but still needed some changes in this model, to change over button in front panel of the bike needed; both batteries is to be separated fiber to avoid collision. Head light is required much more powerful light flow.",Daily Commute,< 3 months,< 5000 kms,4,4,4,,3,,4,,2,Hero Electric Photon
Great scooter at this price range.It is very helpful for our environment also fuel price is increasing in every months .It also a good option to those people who love the nature.It also not produce noise and get charged very quickly and it is powerful give 45 high speed as compared to available in market other electric scooter.,Leisure Rides,< 3 months,< 5000 kms,4,4,4,5,4,4,,4,,Hero Electric Photon
The salesmen are very good.They explained everything to me and my family. I liked the service.And now the scooter is the best thing.It's features and capacity is best The price is also reasonable. The Scooter should given as a award :Best scooter for the year.And i want to thank the production team and the hero group for making a super cool scooter .,Daily Commute,> 1 yr,> 15000 kms,5,5,4,5,4,5,,4,,Hero Electric Photon
"1. Great - owner of hero electric showroom is one of the best person in my life2. Hero electric photon riding is very smooth3. Looks of photon is much better like activa and performance is very high 4. Servicing and maintenance - no cost5. Pros-light weight, quick pickup, average, save the money5. Cons-some parts quality is poor, suspension is not so good.",Daily Commute,3-6 months,< 5000 kms,5,4,4,5,5,4,,5,,Hero Electric Photon
Brought last week. Dealer is very cordial bike appearance super. Riding super. Mileage as assured. Super sackings value for the money in highways i felt as if going in pushpak. I found following disadvantages. 1. Front luggage box edges very sharp and their finishing finishing worst. Hands get injured while underwriting and removing. 2.The side step for pillion rider is not researched and scientific. 3.Braking should be more effective. 4.The seat decider is unscientific ridge discomfort for pillion rider. 5.The red switch for low and high speed has reverse connected in all vehicles.,Daily Commute,< 3 months,< 5000 kms,3,4,4,3,5,4,,4,,Hero Electric Photon
Problems with hero electric photon bike are:1. 6 lead acid batteries make it heavier2. Bike bumper gets hit hart when crossing speed breakers and uneven roads 3. Lead acid batteries does not last long4. Batteries needs rotation every 3 months..... Hero service center never rotate batteries5. No support from show room or service. Center6. Battery drains if head light turned on7. Battery drains if drive mode is set to l (low mileage high speed)8.High cost of battery replacement makes it expensive9. No customer support.,Daily Commute,> 1 yr,5000-10000 kms,1,3,2,1,1,1,,1,,Hero Electric Photon
I have bought hero electric photo IP model in September 2019. I have just completed nearly 4000 km's the battery has gone down and the shop which sold me has taken the battery for replacement the battery is trontek lithium make. The show room man is telling it will take 45 days to replace. Hero eclectic should take this issue seriously and replace the battery with some good make. There is no good review on trontek lithium batteries.,Occasional Commute,6 months-1 yr,< 5000 kms,2,,,,,,,,,Hero Electric Photon
"Great look, economic price, i ride my friend hero electric,i too want to buy.Once i ride this i wish to own it, as i am a teacher it is very useful to go to school , to go to market with double seat also. Really appreciate it as it is useful to our environment friendly, easily rechargeable with good speed.",Daily Commute,Never owned,,5,4,4,,5,,5,,5,Hero Electric Photon
"Service and maintenance- even a small fix for breaks can only be fixed by hero electric showroom. Because parts are not available in open market, other mechanics are scared to touch these vehicles. And showrooms charge too much of price for even a small fix. Mechanics at Vijayawada service center are very rude as we are completely depended on them for fixing it.",Occasional Commute,> 1 yr,5000-10000 kms,2,,,,,,,,,Hero Electric Photon
"I bought this scooter in November 20 in Jabalpur (MP). My daily commute is around 30-35 kms. With the speed and pickup, there is no compromise when compared to other petrol heads.
The top speed is 55 km/h, and battery lasts for around 85 kms.
This vehicle is very light to ride, weighing just 87 kg.
Suspension and balancing of the vehicle is good. Just as other scooters.
Charging of the vehicle takes 4 hours for a full charge and around 1.5 units (around Rs.12)
Looks of the vehicle is just awesome, this is an eye turner for everyone. Everyday 3 to 5 strangers asks about the performance, pricing and praise the vehicle.
Servicing and maintenance is more or less nil.
3 years warranty on battery and motor.",Daily Commute,6 months-1 yr,< 5000 kms,5,5,5,5,5,4,,4,,Hero Electric Photon
"Having owned a new type of automobile gives a thrill but all got drained when i was riding amidst a busy traffic.
It is so silent; it does have initial grunt or a kind of adrenaline induced jerk that all make proud. The handling is quite nimble but the ride quality is bumpy due to its skinny tyres.
Certainly after making a trip to market or so, it feels happy that i didn't spent lavishly in a petrol bunk. In contrast, as there is no indicator for warning us how much distance that it can commute, it gives a little fear that whether would it make it pull manually to home back.
Two things need to be addressed soon. The in-between acceleration must be increased, otherwise, it will definitely let you on the middle of the road.
Next one is the need of a meter to intimate us how much kilometers it has remaining to bring us back to home. As of now no greater cribs. Kudos to hero!",Everything,< 3 months,< 5000 kms,3,,,,,,,5,,Hero Electric Photon
"For me its best for for riding smooth. No petrol, free of cost and pollution free ..
I personally use it daily for going to market and little bit and sometimes also went to city for long run with my scooty.. Great performance till now and i always enjoyed it while driving it.",Occasional Commute,< 3 months,< 5000 kms,5,4,4,,4,,5,,4,Hero Electric Photon
"I bought this vehicle and found that the open charging port, where we connect the charger is showing 80 volts voltage always and it is very dangerous safety point.
Build quality is also very poor, poor plastic used. Very poor quality seat and hinge is also very cheap.
Front wheel brakes got struck from first day due to soft spring, again a poor manufactured part.
Only one thing which is ok, is the looks of the vehicle.
Do not buy this vehicle, wait for some good brands, to enter in this arena.",Daily Commute,< 3 months,< 5000 kms,1,2,1,1,1,1,,5,,Hero Electric Photon
"Electric bikes and scooters are the future of mobility. Skyrocketing fuel prices are forcing people to consider more practical alternatives such as electric bikes and cars. With a great range of electric bikes and electric scooters in India by popular automakers like hero electric, Bajaj auto, tvs motors and amo electric bikes and more homegrown brands indicates it's a good time to switch to electric for a greener environment.",Daily Commute,Occasional Commute,Never owned,4,,,,,,,,,Hero Electric Photon
"I have bought photon. This was one of the worst electric scooter I have used .The turning radius of scooter is too much and if you are on highway, you need to go to other side while turning. It's front head light is too big and light is too low. You cannot see potholes or any object from the distance. It is a risky ride and quality is low.",Occasional Commute,< 3 months,< 5000 kms,1,2,1,3,2,,,,,Hero Electric Photon
"Its really a tough bike to move in streets like villages and small towns. Quality of these bikes are awesome, feels difference about your daily expense. U can use this bike for your office, for buying of vegetables also for a ride with your son or wife to enjoy the outside environment. No need of tensions to fill the fuel just charge and run.",Everything,< 3 months,> 15000 kms,5,5,4,,5,,4,,5,Hero Electric Photon
,Everything,> 1 yr,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Photon
,Occasional Commute,< 3 months,< 5000 kms,5,5,4,,4,,5,,4,Hero Electric Photon
"I used my friends bike. In future i will definitely purchase hero e bikes. Excellent in mileage. Speed 60 kms. Pickup in 7 seconds. Eco friendly. No pollution. Good future of e bikes in India hero bikes trust of 70% Indians. Dynamic looks, maintenance cost is lower than fuel bikes. Monthly cost of e bike is rs.800 & petrol bike cost was rs. 3500 of if daily ride 50 kms.",Daily Commute,Never owned,,5,4,4,5,,,,,,Hero Electric Photon
,Everything,6 months-1 yr,< 5000 kms,5,5,5,,5,,5,,4,Hero Electric Photon
,Daily Commute,6 months-1 yr,10000-15000 kms,1,4,3,,3,,3,,4,Hero Electric Photon
"Buying experience:- within 20 days, vehicle got registered and delivered
Riding experience:- turning radius is too much, which creates problem during turning. This bike is not suited for roads, which is having potholes. Shock absorber performance is not that good, due to which, back pain will affect rider. Even if company promises top speed of 45km/h, but this is without a rider. With a rider weighing 70kg, speed goes down to 40km or below.
Looks and performance:- look is not that good, because, battery can be seen from rear tyre side. Seat height of vehicle is less than that of activa. Since maximum speed scooter can deliver is only 45km/h, so one can't overtake which moves at 40km speed.
Servicing:- actually no major service is required for the vehicle, even though, to pay some amount to the dealer, paid service intervals added in periodic services.
Pros and cons:-
Pros:- powerful electric scooter at lower price. This electric scooter good for ladies. Suitable for travel on flat good roads
Cons:- not suitable for tall men. Even not suitable for men, who require some speed and want to overtake a vehicle. Will feel back pain during long rides. Turning radius is more. Some times at full accelerator throttle, scooter moves half of its half maximum speed. We need to decrease the throttle and the increase it, then only it achieves maximum speed.",Daily Commute,< 3 months,< 5000 kms,3,3,4,3,4,2,,4,,Hero Electric Photon
Awesome riding experience i feel very proud and also economically efficient. I would like to suggest everyone to suggest this bike to purchase experience the best.I feel 0 jerk on broken road. Looking sharp. Me and my wife enjoying drive. This is the good quality of this model. I heartily recommend to every Indian to purchase this one.,Daily Commute,> 1 yr,< 5000 kms,5,5,5,,5,,4,,4,Hero Electric Photon
